Star|n_Star|RAJ2000|DEJ2000|XSLID|MJD|ArmMissing|spU|spV|spN|FileUVB|FileVIS|FileNIR|Comments|SimbadName
OGLEII DIA BUL-SC01 0235 | |18 02 12.640|-30 22 34.9|X0231|55412.1089|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0231_uvb_nlc.fits|fits/xsl_spectrum_X0231_vis.fits        |fits/xsl_spectrum_X0231_nir.fits        |                                                                                                                                                                                                        |OGLEII DIA BUL-SC01 0235
OGLEII DIA BUL-SC01 1821 | |18 02 12.760|-30 02 12.3|X0254|55439.1892|       |spU|spV|spN|fits/xsl_spectrum_X0254_uvb.fits        |fits/xsl_spectrum_X0254_vis.fits        |fits/xsl_spectrum_X0254_nir.fits        |                                                                                                                                                                                                        |OGLEII DIA BUL-SC01 1821
BMB 3                    | |18 02 45.730|-30 01 12.0|X0255|55439.1953|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0255_uvb_nlc.fits|fits/xsl_spectrum_X0255_vis.fits        |fits/xsl_spectrum_X0255_nir.fits        |                                                                                                                                                                                                        |BMB 3
BMB 2                    | |18 02 46.120|-30 04 50.9|X0256|55439.2013|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0256_uvb_nlc.fits|fits/xsl_spectrum_X0256_vis.fits        |fits/xsl_spectrum_X0256_nir.fits        |                                                                                                                                                                                                        |BMB 2
BMB 13                   | |18 02 52.780|-29 54 33.6|X0257|55439.2095|       |spU|spV|spN|fits/xsl_spectrum_X0257_uvb.fits        |fits/xsl_spectrum_X0257_vis.fits        |fits/xsl_spectrum_X0257_nir.fits        |                                                                                                                                                                                                        |BMB 13
HD 164967                | |18 03 21.050|+08 25 09.6|X0468|56164.0355|       |spU|spV|spN|fits/xsl_spectrum_X0468_uvb.fits        |fits/xsl_spectrum_X0468_vis.fits        |fits/xsl_spectrum_X0468_nir.fits        |                                                                                                                                                                                                        |HD 164967
BMB 106                  | |18 03 25.250|-29 59 48.4|X0169|55397.2355|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0169_uvb_nlc.fits|fits/xsl_spectrum_X0169_vis.fits        |fits/xsl_spectrum_X0169_nir.fits        |                                                                                                                                                                                                        |BMB 106
CL* NGC 6522 ARP 4126    | |18 03 27.670|-30 00 56.5|X0405|56144.0984|       |spU|spV|spN|fits/xsl_spectrum_X0405_uvb.fits        |fits/xsl_spectrum_X0405_vis.fits        |fits/xsl_spectrum_X0405_nir.fits        |                                                                                                                                                                                                        |CL* NGC 6522 ARP 4126
CL* NGC 6522 Arp 4329    | |18 03 28.430|-29 58 41.6|X0170|55397.2461|       |spU|spV|spN|fits/xsl_spectrum_X0170_uvb.fits        |fits/xsl_spectrum_X0170_vis.fits        |fits/xsl_spectrum_X0170_nir.fits        |                                                                                                                                                                                                        |CL* NGC 6522 Arp 4329
V5475 Sgr                | |18 03 31.920|-30 00 28.7|X0398|56097.0573|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0398_uvb_nlc.fits|fits/xsl_spectrum_X0398_vis.fits        |fits/xsl_spectrum_X0398_nir.fits        |                                                                                                                                                                                                        |V5475 Sgr
